Date,Umichigan_survey_change,ISM_Manufacturing_change,SPX_change,NASDAQ_change,Inflation_CPI_change,Inflation_PCE_change,10yr_bond_change,Fed_funds_rate_change,2yr_bond_change,Inflations_expectations_change,Inflation_surprises_change,Economic_surprises_change,Hourly_earnings_change,MS_Market_Sentiment_change,VIX_change,SOFR_change
2000-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-02-22,0.0,0.0,0.004516785653262634,-0.006713904264530557,0.0,0.0,-0.0012999999999999956,0.0,-0.000899999999999998,,0.0,0.0,,,-0.001374665955633736,
2000-02-23,0.0,0.0,0.006300982864580584,0.03838553029127456,0.0,0.0,0.0005999999999999894,0.0,0.0006999999999999923,,0.0,0.0,,,-0.01975330900964728,
2000-02-24,0.0,0.0,-0.0053355282981428775,0.01479453138563569,0.0,0.0,-0.0004999999999999866,0.0,-0.0010000000000000009,,0.0,0.0,,,0.0049870994311428385,
2000-02-25,0.0,0.0,-0.014828990047509039,-0.0058796140894177285,0.0,0.0,-0.00040000000000001146,0.0,-0.0011999999999999927,,0.0,0.0,,,0.008234940095304955,
2000-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-02-28,0.0,0.0,0.01101727965440702,-0.002755691101187119,0.0,0.0,0.000899999999999998,0.0,0.0010999999999999899,,0.0,-0.00010000000000000026,,,-0.005206321985476492,
2000-02-29,-0.006249999999999978,-0.015873015873015928,0.013627090983272305,0.02595978461504833,0.001,0.0,-9.999999999998899e-05,0.0,0.00010000000000000286,,-0.030099999999999988,0.0,,,-0.01336441532409599,
2000-03-01,0.0,0.0,0.009345589203905158,0.01860672090344484,0.0,0.0,-0.00020000000000000573,0.0,-0.00019999999999999185,,0.0,0.0011000000000000003,,,-0.01823714462635251,
2000-03-02,0.0,0.0,0.0018634125827476922,-0.006180916707078432,0.0,0.0,-0.00010000000000000286,0.0,9.999999999998899e-05,,0.0,0.0,,,-0.0062763777611696825,
2000-03-03,0.0,0.0,0.019837019453450733,0.03371115004490477,0.0,0.0,0.00010000000000000286,0.0,-9.999999999998899e-05,,0.0,-0.0012000000000000005,,,-0.0206196162071281,
2000-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-03-06,0.0,0.0,-0.01269541645081862,-0.0020224668805787216,0.0,0.0,0.00020000000000000573,0.0,0.0002999999999999947,,0.0,0.0,,,0.025388784758562655,
2000-03-07,0.0,0.0,-0.02563107354378713,-0.011623189292231162,0.0,0.0,-0.0003999999999999976,0.0,-0.0003999999999999976,,0.0,0.00020000000000000052,,,0.02937079665005682,
2000-03-08,0.0,0.0,0.00817338192118755,0.01017566586355989,0.0,0.0,9.999999999998899e-05,0.0,0.00010000000000000286,,0.0,0.0,,,-0.004994347748344841,
2000-03-09,0.0,0.0,0.025601814589887972,0.030566633382137054,0.0,0.0,-0.0003999999999999976,0.0,-0.00019999999999999185,,0.0,-0.00010000000000000026,,,-0.016782506958569976,
2000-03-10,0.0,0.0,-0.00472287024948459,0.0003487316866328527,0.0,0.0,0.0003999999999999976,0.0,0.0005999999999999894,,0.0,0.0,,,-0.01040612184581069,
2000-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-03-13,0.0,0.0,-0.00820747346011319,-0.028003692098038657,0.0,0.0,-9.999999999998899e-05,0.0,-0.0003000000000000086,,0.0,0.0,,,0.017147991236568294,
2000-03-14,0.0,0.0,-0.017685491681241783,-0.04088041342995241,0.0,0.0,-0.000800000000000009,0.0,-0.0003999999999999976,,0.0,0.0,,,0.016048036972740265,
2000-03-15,0.0,0.0,0.024279880807857923,-0.026347938971196028,0.0,0.0,0.0,0.0,0.00020000000000000573,,0.0,-0.0004999999999999996,,,-0.021412681157566116,
2000-03-16,0.0,0.0,0.04763854469705131,0.029408940736958433,0.0,0.0,-0.0003999999999999976,0.0,0.0,,0.0,0.0014999999999999996,,,-0.016910937319625285,
2000-03-17,0.0,0.0,0.004113900183068564,0.017115396437436647,0.0,0.0,-0.0005999999999999964,0.0,0.0,,0.0,-0.00020000000000000052,,,0.017228189011185058,
2000-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2000-03-20,0.0,0.0,-0.005353472587352415,-0.03920902518272751,0.0,0.0,-0.0001000000000000098,0.0,0.00019999999999999185,,0.0,0.0,,,0.0061965984130188945,
2000-03-21,0.0,0.0,0.0255658609255609,0.022056399132321047,0.0,0.0,-0.0003999999999999976,0.0024999999999999953,-9.999999999998899e-05,,0.0,0.0,,,-0.013333354074352988,
2000-03-22,0.0,0.0,0.004531853508002781,0.032487350584080366,0.0,0.0,-0.0002999999999999947,0.0,-0.00019999999999999185,,0.0,0.0,,,-0.0022595084941142707,
2000-03-23,0.0,0.0,0.017799072395777715,0.01559381263168702,0.0,0.0,-0.00030000000000000165,0.0,0.00019999999999999185,,0.0,0.0,,,0.00823196502344764,
